t_sec,joint,position_cmd,velocity_cmd
0.015345296,joint0,-0.814296362,-0.000000000
0.015345296,joint1,-2.175923896,0.000000000
0.015345296,joint2,-0.561601328,0.000000000
0.025309322,joint0,-0.814391462,-0.019020082
0.025309322,joint1,-2.175839662,0.016846787
0.025309322,joint2,-0.561501328,0.020000000
0.035323565,joint0,-0.814676763,-0.038040164
0.035323565,joint1,-2.175586960,0.033693574
0.035323565,joint2,-0.561201328,0.040000000
0.045319509,joint0,-0.815152266,-0.057060245
0.045319509,joint1,-2.175165790,0.050540361
0.045319509,joint2,-0.560701328,0.060000000
0.055306373,joint0,-0.815817968,-0.076080327
0.055306373,joint1,-2.174576153,0.067387148
0.055306373,joint2,-0.560001328,0.080000000
0.065314121,joint0,-0.816673872,-0.095100409
0.065314121,joint1,-2.173818047,0.084233935
0.065314121,joint2,-0.559101328,0.100000000
0.075317957,joint0,-0.817719977,-0.114120491
0.075317957,joint1,-2.172891474,0.101080722
0.075317957,joint2,-0.558001328,0.120000000
0.085338975,joint0,-0.818956282,-0.133140573
0.085338975,joint1,-2.171796433,0.117927509
0.085338975,joint2,-0.556701328,0.140000000
0.095428439,joint0,-0.820382788,-0.152160655
0.095428439,joint1,-2.170532924,0.134774296
0.095428439,joint2,-0.555201328,0.160000000
0.105327161,joint0,-0.821999495,-0.171180736
0.105327161,joint1,-2.169100947,0.151621083
0.105327161,joint2,-0.553501328,0.180000000
0.115329810,joint0,-0.823806403,-0.190200818
0.115329810,joint1,-2.167500502,0.168467870
0.115329810,joint2,-0.551601328,0.200000000
0.125317792,joint0,-0.825803511,-0.209220900
0.125317792,joint1,-2.165731590,0.185314657
0.125317792,joint2,-0.549501328,0.220000000
0.135306892,joint0,-0.827990821,-0.228240982
0.135306892,joint1,-2.163794209,0.202161444
0.135306892,joint2,-0.547201328,0.240000000
0.145308772,joint0,-0.830368331,-0.247261064
0.145308772,joint1,-2.161688361,0.219008231
0.145308772,joint2,-0.544701328,0.260000000
0.155324691,joint0,-0.832936042,-0.266281146
0.155324691,joint1,-2.159414044,0.235855018
0.155324691,joint2,-0.542001328,0.280000000
0.165332229,joint0,-0.835693954,-0.285301227
0.165332229,joint1,-2.156971260,0.252701805
0.165332229,joint2,-0.539101328,0.300000000
0.175322865,joint0,-0.838642067,-0.304321309
0.175322865,joint1,-2.154360008,0.269548593
0.175322865,joint2,-0.536001328,0.320000000
0.185326213,joint0,-0.841780380,-0.323341391
0.185326213,joint1,-2.151580289,0.286395380
0.185326213,joint2,-0.532701328,0.340000000
0.195320620,joint0,-0.845108894,-0.342361473
0.195320620,joint1,-2.148632101,0.303242167
0.195320620,joint2,-0.529201328,0.360000000
0.205322571,joint0,-0.848627610,-0.361381555
0.205322571,joint1,-2.145515445,0.320088954
0.205322571,joint2,-0.525501328,0.380000000
0.215329899,joint0,-0.852336525,-0.380401637
0.215329899,joint1,-2.142230322,0.336935741
