t_sec,joint,position,velocity,effort
0.118252604,J1,-1.528229777,3.000000000,-0.132849293
0.118252604,J2,-1.546860711,-3.000000000,0.340997918
0.118252604,J3,0.190659676,-3.000000000,-0.367280254
0.128189810,J1,-1.498229777,3.000000000,-0.114699165
0.128189810,J2,-1.576860711,-3.000000000,0.305903681
0.128189810,J3,0.160659676,-3.000000000,-0.367820713
0.138185684,J1,-1.468229777,3.000000000,-0.096449981
0.138185684,J2,-1.606860711,-3.000000000,0.270810630
0.138185684,J3,0.130659676,-3.000000000,-0.368308720
0.148186308,J1,-1.438229777,3.000000000,-0.078158903
0.148186308,J2,-1.636860711,-3.000000000,0.235729977
0.148186308,J3,0.100659676,-3.000000000,-0.368743836
0.158251606,J1,-1.408229777,3.000000000,-0.059882969
0.158251606,J2,-1.666860711,-3.000000000,0.200673003
0.158251606,J3,0.070659676,-3.000000000,-0.369125668
0.168207879,J1,-1.378229777,3.000000000,-0.041678899
0.168207879,J2,-1.696860711,-3.000000000,0.165651122
0.168207879,J3,0.040659676,-3.000000000,-0.369453873
0.178342881,J1,-1.348229777,3.000000000,-0.023602891
0.178342881,J2,-1.726860711,-3.000000000,0.130675941
0.178342881,J3,0.010659676,-3.000000000,-0.369728156
0.188172878,J1,-1.318229777,3.000000000,-0.005710435
0.188172878,J2,-1.756860711,-3.000000000,0.095759327
0.188172878,J3,-0.019340324,-3.000000000,-0.369948271
0.198204162,J1,-1.288229777,3.000000000,0.011943882
0.198204162,J2,-1.786860711,-3.000000000,0.060913457
0.198204162,J3,-0.049340324,-3.000000000,-0.370114018
0.208174684,J1,-1.258229777,3.000000000,0.029306563
0.208174684,J2,-1.816860711,-3.000000000,0.026150887
0.208174684,J3,-0.079340324,-3.000000000,-0.370225249
0.218196470,J1,-1.228229777,3.000000000,0.046325385
0.218196470,J2,-1.846860711,-3.000000000,-0.008515398
0.218196470,J3,-0.109340324,-3.000000000,-0.370281863
0.228269031,J1,-1.198229777,3.000000000,0.061334923
0.228269031,J2,-1.876397672,-2.953696103,-0.044370526
0.228269031,J3,-0.139340324,-3.000000000,-0.368523649
0.238174319,J1,-1.168229777,3.000000000,0.063889101
0.238174319,J2,-1.902635578,-2.623790579,-0.087457392
0.238174319,J3,-0.169340324,-3.000000000,-0.356819177
0.248181159,J1,-1.138229777,3.000000000,0.062920411
0.248181159,J2,-1.925887488,-2.325190929,-0.125552139
0.248181159,J3,-0.199340324,-3.000000000,-0.347648512
0.258159223,J1,-1.110867247,2.736252988,0.055778638
0.258159223,J2,-1.946435153,-2.054766565,-0.164202868
0.258159223,J3,-0.229340324,-3.000000000,-0.340711028
0.268187923,J1,-1.086687942,2.417930497,0.047234191
0.268187923,J2,-1.964532153,-1.809699959,-0.197293248
0.268187923,J3,-0.256806424,-2.746610037,-0.335258764
0.278166057,J1,-1.065392560,2.129538246,0.039138518
0.278166057,J2,-1.980406706,-1.587455335,-0.225296620
0.278166057,J3,-0.281035915,-2.422949034,-0.330916795
0.288172618,J1,-1.046711728,1.868083213,0.031682452
0.288172618,J2,-1.994264211,-1.385750495,-0.249686751
0.288172618,J3,-0.302332456,-2.129654130,-0.327479763
0.298210258,J1,-1.030403011,1.630871675,0.025084744
0.298210258,J2,-2.006289526,-1.202531460,-0.270704452
0.298210258,J3,-0.320969343,-1.863688717,-0.324777971
0.308199497,J1,-1.016248218,1.415479282,0.019419497
0.308199497,J2,-2.016649022,-1.035949649,-0.288629958
0.308199497,J3,-0.337192542,-1.622319845,-0.322670291
0.318184895,J1,-1.004050977,1.219724121,0.014673915
0.318184895,J2,-2.025492436,-0.884341341,-0.303753199
0.318184895,J3,-0.351223420,-1.403087861,-0.321040624
0.328343922,J1,-0.993634552,1.041642467,0.010786255
0.328343922,J2,-2.032954527,-0.746209185,-0.316356124
0.328343922,J3,-0.363261211,-1.203779075,-0.319794216
0.338215127,J1,-0.984839882,0.879466971,0.007670296
0.338215127,J2,-2.039156583,-0.620205566,-0.326702871
0.338215127,J3,-0.373485223,-1.022401167,-0.318854191
0.348158130,J1,-0.977523812,0.731607016,0.005230699
0.348158130,J2,-2.044207759,-0.505117631,-0.335034976
0.348158130,J3,-0.382056833,-0.857161051,-0.318158459
0.358190392,J1,-0.971557502,0.596631049,0.003372300
0.358190392,J2,-2.048206298,-0.399853810,-0.341569704
0.358190392,J3,-0.389121283,-0.706444946,-0.317657044
0.368213226,J1,-0.966824995,0.473250670,0.002005408
0.368213226,J2,-2.051240614,-0.303431692,-0.346500267
0.368213226,J3,-0.394809287,-0.568800451,-0.317309827
0.378234383,J1,-0.963221932,0.360306320,0.001048533
0.378234383,J2,-2.053390286,-0.214967108,-0.349997112
0.378234383,J3,-0.399238491,-0.442920406,-0.317084673
0.388190796,J1,-0.960654388,0.256754398,0.000429485
0.388190796,J2,-2.054726929,-0.133664303,-0.352209754
0.388190796,J3,-0.402514775,-0.327628365,-0.316955886
0.398199522,J1,-0.959037831,0.161655659,0.000085483
0.398199522,J2,-2.055315000,-0.058807100,-0.353268838
0.398199522,J3,-0.404733430,-0.221865529,-0.316902953
0.408209574,J1,-0.958296183,0.074164787,-0.000037310
0.408209574,J2,-2.055212509,0.010249061,-0.353288219
0.408209574,J3,-0.405980220,-0.124678976,-0.316909523
0.418215576,J1,-0.958360974,-0.006479007,0.000015446
0.418215576,J2,-2.054471666,0.074084285,-0.352366952
0.418215576,J3,-0.406332331,-0.035211078,-0.316962583
0.428179182,J1,-0.959170578,-0.080960430,0.000205368
0.428179182,J2,-2.053139459,0.133220666,-0.350591139
0.428179182,J3,-0.405859230,0.047310029,-0.317051796
0.438162764,J1,-0.960669535,-0.149895718,0.000500426
0.438162764,J2,-2.051258179,0.188128086,-0.348035595
0.438162764,J3,-0.404623440,0.123579027,-0.317168962
0.448141178,J1,-0.962807930,-0.213839486,0.000874051
0.448141178,J2,-2.048865884,0.239229444,-0.344765327
0.448141178,J3,-0.402681229,0.194221124,-0.317307597
0.458119661,J1,-0.965540839,-0.273290885,0.001304317
0.458119661,J2,-2.045996831,0.286905344,-0.340836846
0.458119661,J3,-0.400083239,0.259799011,-0.317462582
0.468162191,J1,-0.968827830,-0.328699153,0.001773202
0.468162191,J2,-2.042681847,0.331498334,-0.336299303
0.468162191,J3,-0.396875048,0.320819110,-0.317629894
0.478211775,J1,-0.972632516,-0.380468601,0.002265939
0.478211775,J2,-2.038948680,0.373316703,-0.331195487
0.478211775,J3,-0.393097676,0.377737199,-0.317806381
0.488189490,J1,-0.976922147,-0.428963114,0.002770461
0.488189490,J2,-2.034822301,0.412637913,-0.325562680
0.488189490,J3,-0.388788041,0.430963479,-0.317989588
0.498174608,J1,-0.981667249,-0.474510183,0.003276913
0.498174608,J2,-2.030325184,0.449711682,-0.319433405
0.498174608,J3,-0.383979370,0.480867131,-0.318177612
0.508175441,J1,-0.986841295,-0.517404553,0.003777249
0.508175441,J2,-2.025477557,0.484762752,-0.312836060
0.508175441,J3,-0.378701565,0.527780418,-0.318368993
0.518137651,J1,-0.992420410,-0.557911495,0.004264886
0.518137651,J2,-2.020297623,0.517993394,-0.305795477
0.518137651,J3,-0.372981542,0.572002376,-0.318562616
0.528139253,J1,-0.998383107,-0.596269750,0.004734416
0.528139253,J2,-2.014801766,0.549585650,-0.298333398
0.528139253,J3,-0.366843520,0.613802139,-0.318757644
0.538170468,J1,-1.004700539,-0.631743184,0.005166294
0.538170468,J2,-2.009013156,0.578861020,-0.290490252
0.538170468,J3,-0.360319301,0.652421925,-0.318947581
0.548116404,J1,-1.011337232,-0.663669275,0.005541892
0.548116404,J2,-2.002961068,0.605208854,-0.282314648
0.548116404,J3,-0.353447504,0.687179732,-0.319125565
0.558198325,J1,-1.018261259,-0.692402757,0.005860150
0.558198325,J2,-1.996671849,0.628921903,-0.273839918
0.558198325,J3,-0.346262886,0.718461759,-0.319291029
0.568231007,J1,-1.025443888,-0.718262890,0.006121433
0.568231007,J2,-1.990169212,0.650263648,-0.265095291
0.568231007,J3,-0.338796730,0.746615583,-0.319443752
0.578209002,J1,-1.032859258,-0.741537010,0.006327142
0.578209002,J2,-1.983474500,0.669471218,-0.256106479
0.578209002,J3,-0.331077190,0.771954025,-0.319583776
0.588155776,J1,-1.040484096,-0.762483719,0.006479409
0.588155776,J2,-1.976606920,0.686758032,-0.246896168
0.588155776,J3,-0.323129604,0.794758622,-0.319711331
0.598311242,J1,-1.048297453,-0.781335756,0.006580860
